repeatIndex,nodes,tasksPerNode,chunkSize,chunksPerTask,direct,filesystem,singleFile,repeat,stripes,operation,alignment,strided,randomStrided,bandwidth,dataSize,tasks
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,104.74627588303264,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,104.89443684036635,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,104.51095384464313,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,102.69908533600444,1106.804644422573,240
0,10,24,1024,4096,False,vast,False,10,1,write,4096,False,False,102.06611230319436,1106.804644422573,240
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,39.88086407592149,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,38.896639215463864,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,39.11480755738034,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,40.12046114772577,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,40.66998272439625,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,40.43209335807389,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,41.12860283116572,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,40.99416945789421,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,40.544206694790994,885.4437155380584,48
0,2,24,4096,4096,True,vast,False,10,1,write,4096,False,False,41.46200194172056,885.4437155380584,48
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,72.09509620491681,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,73.022492774247,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,74.9344440326046,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,76.3224081145248,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,74.47010184472187,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,76.41992072458197,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,74.89537234462016,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,75.52347036810434,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,77.14605807102944,1770.8874310761169,96
0,4,24,4096,4096,True,vast,False,10,1,write,4096,False,False,85.26976913027009,1770.8874310761169,96
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,96.88093171141016,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,98.96265030124616,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,100.0336784959004,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,101.59406908803582,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,98.43344816869808,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,99.6821852981514,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,99.36865856203327,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,97.2499988836928,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,98.457184860395,885.4437155380584,192
0,8,24,1024,4096,False,vast,False,10,1,write,4096,False,False,108.42655398664985,885.4437155380584,192
